	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
2	REL	2015	31 Dec 2015	229	8387	642	9258	158	1601	122	46	11185	4176	4822	9	9007		2178	224	34	0	2748	-828	2178	1407	985	-139	5971	2129	3842	1497	1312	1014
3	REL	2014	31 Dec 2014	227	8145	779	9151	142	1487	276	31	11087	3936	5012	2	8950		2137	212	31	0	2820	-926	2137	1377	812	142	5773	2006	3767	1402	1229	960
4	REL	2013	31 Dec 2013	237	7700	744	8681	142	1416	132	124	10495	3852	4217	3	8072		2423	224	33	0	2887	-721	2423	1386	1070	-532	6035	2118	3917	1376	1196	1115
0	RHIM	2017	31 Dec 2017	901	428	260	1590	677	530	442	48	3286	1021	1505	0	2526		760	45	139	0	0	576	760	222	255	271	1946	1486	461	43	24	-13
0	RIO	2017	31 Dec 2017	62093	4156	10305	76554	3472	3443	10550	1707	95726	11225	33262	124	44611		51115	4360	6404	23761	4306	12284	51115	13884	11511	2358	40030	0	0	14474	12816	8851
1	RIO	2016	31 Dec 2016	58855	4230	11092	74177	2937	3460	8201	488	89263	9362	34133	38	43533		45730	4139	6440	21631	4304	9216	45730	8465	6361	-1165	33781	0	0	7116	6343	4776
2	RIO	2015	31 Dec 2015	61057	4228	10725	76010	3168	2386	9366	634	91564	10046	37279	111	47436		44128	4174	6779	19736	4300	9139	44128	9383	4783	-3046	34829	0	0	3615	-726	-1719
3	RIO	2014	31 Dec 2014	68693	7108	10901	86702	4350	3623	12423	729	107827	12220	40653	360	53233		54594	4765	8309	26110	4288	11122	54594	14286	7783	2191	47664	0	0	11346	9552	6499
4	RIO	2013	31 Dec 2013	70827	6770	11146	88743	5737	4667	10216	1662	111025	15190	42152	181	57523		53502	5141	7616	23605	4269	12871	53502	15078	4132	2937	51171	0	0	7430	3505	1079
0	RMG	2018	25 Mar 2018	2016	932	2506	5454	25	1160	600	18	7257	2082	739	0	2821		4436	10	0	4381	0	45	4436	905	580	299	10172	0	0	66	212	258
1	RMG	2017	26 Mar 2017	2062	883	3898	6843	23	1117	299	52	8334	2016	1320	0	3336		4998	10	1	4940	0	47	4998	754	244	-83	9776	0	0	231	335	273
2	RMG	2016	27 Mar 2016	2000	657	3484	6141	21	1020	368	50	7600	1991	1142	0	3133		4467	10	9	4451	0	-3	4467	727	364	74	9251	0	0	551	538	420
3	RMG	2015	29 Mar 2015	1933	484	3257	5674	20	949	287	61	6991	1958	1177	10	3145		3846	10	9	3843	0	-16	3846	762	420	-72	9328	0	0	595	569	431
4	RMG	2014	30 Mar 2014	1989	395	1775	4159	22	926	366	3	5476	1938	1137	0	3075		2401	10	7	2332	0	52	2401	809	435	16	9456	0	0	430	363	266
0	RMV	2017	31 Dec 2017	3	3	6	12	0	35	21	4	72	54	0	0	55		17	1	0	16	0	1	17	150	148	7	243	0	0	178	178	144
1	RMV	2016	31 Dec 2016	2	4	7	13	0	30	14	4	60	52	0	0	52		8	1	0	7	0	0	8	141	138	5	220	0	0	162	162	130
2	RMV	2015	31 Dec 2015	2	1	7	10	0	28	8	4	50	43	0	0	44		7	1	0	5	0	0	7	116	110	-3	192	0	0	137	137	109
