	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
3	COA	2014	31 Dec 2014	191	165	64	420	166	196	474	4	1260	370	633	0	1003		257	70	16	-14	1	184	257	54	32	1	1023	648	375	64	43	15
4	COA	2013	31 Dec 2013	206	155	57	418	170	207	458	4	1257	340	460	0	800		457	70	13	179	1	194	457	96	222	144	1089	709	380	41	14	28
0	COB	2017	31 Dec 2017	381	894	159	1434	389	329	452	189	2793	771	995	0	1765		1028	62	1	-284	1258	-9	1028	215	140	277	2053	1458	595	104	67	79
1	COB	2016	31 Dec 2016	423	1166	141	1730	405	410	236	12	2793	864	1439	0	2303		490	45	1	-372	778	38	490	135	48	-72	1944	1567	377	-779	-848	-795
2	COB	2015	31 Dec 2015	380	1730	103	2212	410	366	295	35	3318	797	1611	0	2408		910	30	1	577	302	-0	910	189	243	83	2072	1408	664	12	-40	-38
3	COB	2014	31 Dec 2014	390	1997	91	2478	431	437	226	11	3583	699	1772	0	2471		1112	30	1	736	302	43	1112	168	-783	57	1852	1290	562	58	24	29
4	COB	2013	31 Dec 2013	351	1162	56	1569	316	318	201	16	2419	871	504	0	1375		1044	29	1	833	127	55	1044	211	2	-37	1790	1221	569	159	127	115
0	CPI	2017	31 Dec 2017	219	1812	572	2604	89	776	922	32	4421	2831	2520	0	5351		-930	14	69	-1517	501	3	-930	159	889	-91	4235	3182	1053	-420	-513	-111
1	CPI	2016	31 Dec 2016	395	2754	498	3647	93	976	1098	174	5987	2359	3145	0	5504		483	14	75	-102	501	-5	483	563	312	468	4909	3642	1267	148	75	42
2	CPI	2015	31 Dec 2015	406	2810	292	3508	44	1012	534	246	5344	2141	2449	0	4590		753	14	74	197	501	-32	753	502	-137	57	4837	3492	1345	207	112	56
3	CPI	2014	31 Dec 2014	449	2619	264	3332	15	988	459	118	4912	1953	2044	0	3997		916	14	66	355	499	-18	916	489	-28	-127	4378	3172	1206	389	292	240
4	CPI	2013	31 Dec 2013	420	2331	244	2995	3	893	611	101	4602	1771	1935	0	3706		896	14	62	350	491	-21	896	447	2	-149	3896	2828	1069	312	215	172
0	CRST	2017	31 Oct 2017	4	29	77	110	1087	103	175	4	1478	409	251	0	660		818	13	0	731	74	0	818	23	32	-107	1043	768	275	212	207	169
1	CRST	2016	31 Oct 2016	3	29	87	119	936	74	282	2	1413	359	335	0	694		719	13	0	634	73	0	719	154	164	95	997	731	266	204	195	157
2	CRST	2015	31 Oct 2015	3	29	79	110	905	49	187	1	1252	294	328	0	622		631	13	0	547	72	0	631	24	31	45	805	584	221	163	154	124
3	CRST	2014	31 Oct 2014	2	29	69	100	814	48	142	0	1104	311	257	0	568		537	13	0	452	72	0	537	-39	-32	18	636	454	182	128	117	99
4	CRST	2013	31 Oct 2013	2	29	96	127	578	44	125	0	873	242	161	0	403		470	13	0	386	72	0	470	20	23	-26	526	385	141	91	81	66
0	CSP	2017	30 Sep 2017	3	60	85	147	667	139	77	0	1030	258	86	0	345		685	5	1	0	0	680	685	52	97	65	846	663	183	129	142	118
1	CSP	2016	30 Sep 2016	3	59	82	143	584	148	38	0	913	211	110	0	320		593	5	0	0	0	588	593	-35	-51	-69	671	527	144	87	79	61
2	CSP	2015	30 Sep 2015	2	59	86	148	440	105	0	0	693	186	493	0	680		13	0	0	0	1	12	13	16	26	0	547	432	116	68	28	20
0	CTEC	2017	31 Dec 2017	334	2560	32	2926	285	269	289	32	3801	323	1954	0	2277		1524	239	0	-850	1	2134	1524	307	124	5	1765	838	926	248	164	158
1	CTEC	2016	31 Dec 2016	265	2397	36	2698	248	234	264	26	3468	300	1968	0	2268		1201	239	0	-2658	1674	1946	1201	75	11	16	1688	821	867	154	-126	-203
0	CTY	2017	30 Jun 2017	0	0	1509	1509	0	12	0	0	1521	15	76	0	91		1430	85	0	49	462	835	1430	0	0	0	0	0	0	0	421	0
0	CWK	2018	31 Mar 2018	237	156	1	394	59	160	21	17	651	159	12	0	171		480	5	0	372	82	21	480	112	49	17	1465	0	0	88	88	70
1	CWK	2017	31 Mar 2017	216	158	1	375	62	151	4	19	611	157	32	0	190		421	5	0	325	75	17	421	73	-14	-14	1245	0	0	78	77	67
2	CWK	2016	31 Mar 2016	178	140	1	319	46	117	18	11	510	128	14	0	142		368	5	0	281	69	13	368	84	50	14	1070	0	0	59	59	45
3	CWK	2015	31 Mar 2015	166	146	1	312	49	117	4	11	494	125	36	0	161		332	5	0	252	66	10	332	54	16	-8	1003	0	0	54	53	41
4	CWK	2014	31 Mar 2014	157	131	1	288	47	98	12	14	459	116	41	0	157		303	5	0	226	64	8	303	60	19	5	995	0	0	56	55	43
0	CYBG	2017	30 Sep 2017	86	339	549	974	0	32567	6937	2753	43231	0	0	39829	39829		3402	88	0	3055	0	259	3402	-532	-1083	1002	1036	0	0	316	268	182
1	CYBG	2016	30 Sep 2016	99	256	393	748	0	29202	5955	4024	39929	0	0	36718	36718		3211	88	0	2779	0	344	3211	-359	-652	-387	997	0	0	116	77	-164
0	DC.	2017	29 Apr 2017	420	3664	821	4905	1101	1136	209	17	7368	2714	1599	0	4313		3055	1	0	1513	2260	-719	3055	364	117	-39	10585	0	0	418	386	295
1	DC.	2016	30 Apr 2016	366	3594	647	4607	958	1131	233	0	6929	2491	1578	0	4069		2860	1	0	1398	2256	-795	2860	394	138	53	9738	0	0	304	263	161
2	DC.	2015	02 May 2015	327	3514	581	4422	920	907	163	137	6549	2186	1532	68	3786		2763	1	0	1369	2256	-863	2763	43	219	-120	8255	0	0	324	287	97
3	DC.	2014	29 Mar 2014	90	617	245	952	240	821	283	11	2307	981	446	0	1427		880	1	0	1355	283	-759	880	442	84	166	2576	1912	664	76	67	48
4	DC.	2013	31 Mar 2013	27	0	538	565	0	3	117	0	685	24	0	0	24		661	1	0	1238	170	-748	661	25	71	14	11	0	0	3	5	4
0	DCG	2018	31 Mar 2018	186	107	95	388	184	29	23	5	628	94	291	0	385		244	35	0	73	87	48	244	24	14	2	457	0	0	189	179	150
1	DCG	2017	31 Mar 2017	199	101	42	341	154	33	21	7	557	96	389	0	485		72	35	0	-97	86	48	72	21	9	-79	417	0	0	49	40	38
2	DCG	2016	31 Mar 2016	234	97	22	353	152	43	100	16	665	232	299	0	531		134	55	0	-35	84	30	134	19	0	50	422	0	0	54	45	-113
3	DCG	2015	31 Mar 2015	329	100	15	444	200	95	51	0	789	176	324	0	499		290	34	0	124	80	51	290	25	-29	-16	1330	0	0	32	22	21
4	DCG	2014	31 Mar 2014	289	102	10	400	220	118	67	0	806	254	263	0	517		289	34	0	126	78	52	289	-26	-52	-209	1391	0	0	64	54	50
0	DJAN	2017	31 Mar 2017	2257	0	1	2257	0	65	84	0	2407	148	603	0	751		1656	4	0	1590	1	61	1656	19	10	-7	141	0	0	211	198	162
1	DJAN	2016	31 Mar 2016	2009	0	1	2010	0	63	85	0	2158	116	562	0	678		1480	4	0	1443	1	32	1480	48	34	32	138	0	0	185	173	143
2	DJAN	2015	31 Mar 2015	1855	0	7	1862	0	56	52	0	1970	103	533	0	637		1334	4	0	1303	1	26	1334	26	-1	-9	129	70	59	289	272	223
3	DJAN	2014	31 Mar 2014	1547	0	5	1552	0	47	59	2	1660	83	466	0	550		1111	4	0	1093	1	13	1111	19	-15	-2	112	69	43	164	165	150
4	DJAN	2013	31 Mar 2013	1408	0	9	1416	0	43	64	0	1523	95	443	0	538		985	4	0	958	1	22	985	24	-5	30	111	0	0	122	112	90
0	DLN	2017	31 Dec 2017	52	0	4816	4868	25	58	87	0	5038	89	756	0	845		4193	6	65	2991	189	943	4193	84	368	69	203	0	0	335	315	313
1	DLN	2016	31 Dec 2016	38	0	4949	4987	12	39	18	0	5055	112	944	0	1056		3999	6	67	2788	188	950	3999	78	68	11	194	0	0	89	55	54
2	DLN	2015	31 Dec 2015	39	0	4955	4994	0	53	7	11	5064	126	942	0	1068		3995	6	73	2778	186	953	3995	76	-10	-8	205	0	0	809	780	777
3	DLN	2014	31 Dec 2014	27	0	4127	4155	0	32	15	24	4226	261	889	0	1150		3076	5	64	1881	174	953	3076	66	-21	2	181	0	0	805	754	750
4	DLN	2013	31 Dec 2013	22	0	3321	3343	0	54	13	27	3437	87	979	0	1066		2371	5	67	1180	170	949	2371	58	-35	8	161	0	0	487	468	466
0	DNLM	2017	01 Jul 2017	195	28	0	223	165	26	17	1	433	141	183	0	323		110	2	0	64	2	43	110	80	14	3	956	489	467	95	92	73
1	DNLM	2016	02 Jul 2016	169	19	1	189	117	19	15	7	346	108	139	0	247		100	2	0	47	2	49	100	148	110	-2	881	442	439	129	129	102
2	DNLM	2015	04 Jul 2015	159	13	2	174	133	19	16	0	342	101	136	0	237		105	2	0	58	2	43	105	118	87	-6	836	425	411	122	123	96
3	DNLM	2014	28 Jun 2014	153	9	4	166	116	19	22	0	323	92	41	0	133		190	2	0	145	2	41	190	104	76	-22	730	369	361	116	116	89
4	DNLM	2013	29 Jun 2013	151	4	1	157	93	18	45	0	313	116	0	0	116		198	2	0	151	2	43	198	100	74	-21	677	347	330	107	108	81
0	DOM	2017	31 Dec 2017	106	114	74	294	8	49	29	1	381	135	181	0	316		65	3	21	52	37	-47	65	104	34	7	475	281	194	76	81	67
1	DOM	2016	25 Dec 2016	68	18	95	181	9	42	23	1	256	84	65	0	149		107	3	0	73	37	-5	107	63	-10	-29	361	216	145	83	83	72
2	DOM	2015	27 Dec 2015	59	12	25	96	6	29	53	2	185	71	16	0	88		98	3	0	68	29	-2	98	69	58	20	317	193	124	73	73	50
3	DOM	2014	28 Dec 2014	57	11	23	91	5	35	34	1	165	79	13	0	92		73	3	0	46	26	-1	73	60	58	2	294	185	110	54	54	43
4	DOM	2013	29 Dec 2013	58	11	26	95	4	34	32	1	166	61	45	0	106		60	3	-4	37	20	5	60	41	36	9	269	172	97	20	22	12
0	DPH	2017	30 Jun 2017	45	396	12	453	57	67	61	0	638	66	269	0	335		303	1	2	107	173	19	303	77	20	22	359	168	192	33	29	26
1	DPH	2016	30 Jun 2016	38	360	0	398	54	69	39	0	561	66	218	0	284		277	1	2	94	172	7	277	44	-130	-5	248	115	132	19	15	13
2	DPH	2015	30 Jun 2015	17	167	0	184	32	31	46	0	292	44	54	0	98		194	1	0	95	125	-26	194	41	36	22	203	87	116	26	26	19
3	DPH	2014	30 Jun 2014	18	196	0	214	30	30	27	0	301	36	60	0	96		205	1	0	87	124	-8	205	11	88	-4	194	86	108	25	21	59
4	DPH	2013	30 Jun 2013	16	220	0	236	29	28	33	90	415	104	137	0	241		175	1	0	39	123	11	175	37	18	-1	189	88	101	18	12	18
0	DPLM	2017	30 Sep 2017	23	178	1	201	73	69	22	0	365	76	22	0	99		267	6	5	227	0	29	267	60	36	2	452	291	161	69	67	48
1	DPLM	2016	30 Sep 2016	24	171	1	195	67	60	21	0	343	75	30	0	105		238	6	4	197	0	31	238	58	29	-5	383	245	137	55	54	39
2	DPLM	2015	30 Sep 2015	23	131	1	155	57	51	23	0	286	51	40	0	91		195	6	5	183	0	1	195	46	5	3	334	213	121	53	52	37
3	DPLM	2014	30 Sep 2014	13	110	2	124	54	46	21	0	246	48	11	0	59		187	6	3	171	0	8	187	42	25	3	306	194	112	50	50	36
4	DPLM	2013	30 Sep 2013	14	106	3	123	47	43	19	0	232	44	10	0	53		178	6	1	155	0	16	178	41	35	8	286	179	107	49	49	35
0	DRX	2017	31 Dec 2017	1662	401	215	2279	272	418	222	327	3518	865	933	0	1798		1720	47	0	417	424	832	1720	315	-239	-4	3685	3140	545	-117	-183	-151
1	DRX	2016	31 Dec 2016	1642	36	520	2198	288	293	228	663	3669	885	739	0	1624		2045	47	0	567	424	1008	2045	191	98	87	2950	2573	376	204	197	194
2	DRX	2015	31 Dec 2015	1654	26	278	1959	224	319	134	602	3237	763	872	0	1635		1602	47	0	384	424	747	1602	150	7	-47	3065	2656	409	76	59	56
3	DRX	2014	31 Dec 2014	1697	11	111	1819	242	369	181	364	2975	601	801	0	1402		1573	47	0	374	423	729	1573	90	-131	-86	2805	2355	450	195	166	129
4	DRX	2013	31 Dec 2013	1581	37	9	1627	197	246	267	189	2526	481	636	0	1117		1410	47	0	293	423	648	1410	142	-149	-104	2062	1617	445	55	32	51
0	ECM	2018	31 Mar 2018	97	233	27	358	331	294	123	2	1107	391	234	0	625		483	44	0	355	47	36	483	127	103	18	1705	956	750	173	169	150
1	ECM	2017	31 Mar 2017	97	260	30	388	304	278	77	17	1063	390	284	0	674		389	44	0	232	45	69	389	128	113	13	1512	855	657	132	127	92
2	ECM	2016	31 Mar 2016	96	241	28	366	269	232	35	1	902	240	307	0	547		356	44	0	243	44	25	356	76	47	4	1291	730	562	40	35	22
3	ECM	2015	31 Mar 2015	101	248	30	379	285	219	7	2	892	259	265	0	524		368	44	0	258	42	24	368	87	49	22	1266	702	565	101	96	70
4	ECM	2014	31 Mar 2014	105	220	18	343	259	215	1	8	825	217	244	0	461		364	44	0	268	42	11	364	93	58	-16	1273	689	584	106	101	72
0	EDIN	2017	31 Mar 2017	0	0	1731	1731	0	13	3	0	1747	114	99	0	212		1535	49	0	75	10	1401	1535	0	0	0	0	0	0	0	784	0
1	EDIN	2016	31 Mar 2016	0	0	1564	1564	0	6	2	0	1572	81	98	0	179		1392	49	0	68	10	1265	1392	0	0	0	0	0	0	0	711	0
0	EFM	2017	31 Aug 2017	0	0	840	840	0	5	4	5	854	47	0	0	47		807	40	0	34	19	715	807	9	21	-3	0	0	0	0	423	0
1	EFM	2016	31 Aug 2016	0	0	710	710	0	3	5	8	725	2	59	0	61		664	39	0	30	4	590	664	11	20	3	0	0	0	0	349	0
0	ELM	2017	31 Dec 2017	220	717	16	953	144	125	55	63	1340	145	469	23	637		702	44	0	537	22	99	702	115	-289	-32	783	488	295	91	79	118
1	ELM	2016	31 Dec 2016	217	360	39	616	121	96	83	0	916	121	169	0	289		627	44	0	487	21	75	627	118	83	6	660	421	239	85	76	68
2	ELM	2015	31 Dec 2015	211	363	48	622	120	104	79	0	924	95	171	0	266		658	44	0	500	20	93	658	89	82	8	679	419	260	128	122	95
3	ELM	2014	31 Dec 2014	212	373	56	641	138	121	74	1	974	142	188	0	330		644	44	0	465	19	116	644	113	74	12	790	486	304	156	148	175
4	ELM	2013	31 Dec 2013	203	382	9	593	128	126	65	0	913	140	227	0	367		546	44	2	353	17	130	546	133	66	1	777	488	289	145	134	107
0	EMG	2017	31 Dec 2017	44	1047	81	1172	0	491	379	935	2977	0	0	1261	1261		1716	0	0	0	0	1716	1716	231	211	-51	1068	0	0	307	272	255
1	EMG	2016	31 Dec 2016	44	1041	63	1148	0	257	426	1115	2946	0	0	1272	1272		1674	0	0	0	0	1674	1674	84	25	-181	827	0	0	-242	-272	-266
2	EMG	2015	31 Dec 2015	44	1511	30	1585	0	303	607	893	3388	1104	69	0	1173		2215	0	0	0	0	2215	2215	355	264	-131	1135	0	0	215	184	171
3	EMG	2014	31 Dec 2014	52	1595	30	1677	0	396	738	538	3349	0	0	915	915		2434	0	0	0	0	2434	2434	129	-110	-254	1150	0	0	400	384	365
4	EMG	2013	31 Dec 2013	68	1354	31	1453	0	388	992	400	3233	0	0	826	826		2407	0	0	0	0	2407	2407	448	471	-1008	1160	0	0	104	56	72
0	EQN	2017	31 Dec 2017	18	667	29	714	0	80	115	18	928	127	290	0	417		511	0	20	189	116	185	511	70	19	59	406	0	0	37	26	16
1	EQN	2016	31 Dec 2016	17	670	37	724	0	75	57	16	872	124	346	0	470		402	0	19	192	0	192	402	52	5	-20	383	0	0	41	29	33
2	EQN	2015	31 Dec 2015	11	637	22	670	0	71	77	16	833	120	333	0	453		381	0	20	177	0	184	381	72	31	46	369	0	0	10	-72	-46
0	ERM	2017	30 Sep 2017	17	594	38	649	0	64	4	59	777	267	212	0	480		297	0	9	36	103	149	297	96	-17	4	387	0	0	43	41	43
1	ERM	2016	30 Sep 2016	10	551	40	602	0	73	11	86	772	249	45	0	295		478	0	9	224	103	142	478	87	93	0	403	0	0	47	44	31
2	ERM	2015	30 Sep 2015	9	531	39	579	0	83	9	18	689	211	33	0	244		445	0	7	229	103	106	445	95	99	0	403	0	0	123	123	106
3	ERM	2014	30 Sep 2014	17	545	2	564	0	80	9	10	663	221	85	0	306		357	0	8	150	102	97	357	88	29	-2	407	0	0	104	101	76
4	ERM	2013	30 Sep 2013	17	506	6	529	0	79	11	7	627	247	46	0	293		334	0	8	103	102	121	334	87	55	-2	405	0	0	106	95	73
0	ESNT	2017	31 Dec 2017	283	548	37	868	114	201	52	4	1240	247	373	0	619		620	66	8	363	0	184	620	77	228	-8	1027	0	0	6	-5	116
1	ESNT	2016	31 Dec 2016	286	582	18	885	115	218	54	139	1412	297	480	33	810		603	66	7	296	0	234	603	153	115	27	999	0	0	-50	-63	-40
2	ESNT	2015	31 Dec 2015	289	692	29	1010	119	253	30	5	1417	278	524	0	802		615	66	6	400	0	144	615	111	-248	-15	1098	0	0	101	90	69
3	ESNT	2014	31 Dec 2014	231	406	35	672	85	165	46	13	981	196	188	0	383		598	66	5	367	0	160	598	110	51	2	866	0	0	109	100	72
4	ESNT	2013	31 Dec 2013	214	397	28	639	76	141	44	4	903	179	322	0	500		403	60	4	345	0	-6	403	110	-122	4	798	0	0	97	86	60
0	ESUR	2017	31 Dec 2017	29	62	1300	1390	0	307	47	0	1744	0	0	1446	1446		298	0	0	202	46	50	298	100	90	21	781	0	0	107	99	80
1	ESUR	2016	31 Dec 2016	33	13	877	922	0	246	26	292	1485	0	0	1213	1213		272	0	0	178	45	48	272	-4	-30	-6	648	0	0	81	73	269
2	ESUR	2015	31 Dec 2015	35	182	754	970	0	217	32	225	1444	0	0	1103	1103		341	0	0	251	44	46	341	155	81	7	654	0	0	143	134	122
3	ESUR	2014	31 Dec 2014	27	13	878	918	0	180	25	209	1332	0	0	1050	1050		282	0	0	193	44	45	282	-41	-48	-3	571	0	0	95	103	82
4	ESUR	2013	31 Dec 2013	15	14	809	838	0	181	28	226	1272	0	0	998	998		274	0	0	185	44	45	274	89	92	-12	574	0	0	121	118	93
0	ETO	2018	31 Mar 2018	11	624	302	937	40	482	119	259	1836	605	525	0	1130		706	595	48	58	0	5	706	15	-107	0	1045	734	311	114	78	78
1	ETO	2017	31 Mar 2017	12	710	251	973	49	464	133	282	1901	680	464	0	1144		757	505	86	110	0	56	757	34	23	33	1083	795	287	61	37	25
2	ETO	2016	31 Mar 2016	12	674	204	891	51	341	108	252	1643	569	414	0	982		660	500	41	100	0	19	660	288	-113	36	803	570	233	75	48	40
3	ETO	2015	31 Mar 2015	6	297	235	538	52	280	71	231	1173	488	320	0	808		365	306	0	63	0	-4	365	261	-120	37	786	578	208	60	44	41
4	ETO	2014	31 Mar 2014	6	283	79	368	47	231	37	233	915	444	163	0	607		307	286	0	21	0	0	307	258	-23	4	820	639	180	29	21	20
0	FCPT	2017	31 Dec 2017	0	0	1420	1420	0	3	35	0	1458	20	310	0	329		1129	8	0	116	0	1005	1129	38	-2	-50	0	0	0	0	141	0
1	FCPT	2016	31 Dec 2016	0	0	1324	1324	0	3	85	0	1412	19	310	0	329		1083	8	0	124	128	824	1083	36	80	29	0	0	0	0	136	0
0	FCS	2017	30 Apr 2017	0	0	761	761	0	4	10	0	776	8	35	0	43		733	14	0	14	160	545	733	3	-12	-3	0	0	0	0	1283	0
0	FCSS	2017	31 Mar 2017	0	0	1295	1295	0	15	48	49	1407	43	120	0	163		1244	6	0	23	212	1003	1244	29	29	11	0	0	0	0	225	0
0	FDM	2017	31 Dec 2017	5	19	2	27	0	31	37	0	94	30	0	0	30		64	1	0	48	8	7	64	35	34	9	234	129	104	44	44	32
1	FDM	2016	31 Dec 2016	5	20	1	25	0	29	28	0	82	29	0	0	29		53	1	0	40	8	4	53	31	29	5	189	103	86	35	35	26
2	FDM	2015	31 Dec 2015	4	20	0	24	0	25	22	0	71	22	0	0	23		48	1	0	39	8	1	48	30	27	10	161	97	63	30	29	22
3	FDM	2014	31 Dec 2014	3	19	0	22	0	25	12	0	59	17	0	0	17		43	1	0	33	8	0	43	14	14	6	123	75	48	19	19	14
0	FDSA	2017	31 Dec 2017	27	98	8	133	0	88	92	0	314	126	21	0	147		167	4	0	104	35	23	167	84	34	-2	354	0	0	50	50	36
1	FDSA	2016	31 Dec 2016	21	93	12	126	0	83	95	0	304	120	19	0	139		165	4	0	102	34	25	165	80	43	12	332	0	0	48	49	36
2	FDSA	2015	31 Dec 2015	23	91	10	125	0	72	78	0	275	104	18	0	122		153	4	0	97	32	20	153	75	32	1	295	0	0	39	39	30
3	FDSA	2014	31 Dec 2014	20	90	10	120	0	66	77	0	262	94	17	0	111		152	4	0	98	31	19	152	71	32	3	275	0	0	39	39	29
4	FDSA	2013	31 Dec 2013	19	89	9	118	0	73	73	0	263	99	16	0	115		149	4	0	98	28	19	149	68	30	3	279	0	0	43	43	32
0	FEV	2017	31 Dec 2017	0	0	1011	1011	0	6	4	18	1039	9	0	0	9		1030	10	0	26	59	935	1030	0	0	0	0	0	0	0	248	0
1	FEV	2016	31 Dec 2016	0	0	863	863	0	4	4	8	878	3	0	0	3		875	10	0	25	59	781	875	0	0	0	0	0	0	0	211	0
0	FGP	2017	31 Mar 2017	2277	2107	142	4525	65	791	401	5	5787	1415	2296	0	3711		2076	60	21	622	679	694	2076	520	160	31	5653	0	0	284	153	116
1	FGP	2016	31 Mar 2016	2142	1899	161	4201	61	694	360	20	5337	1375	2329	0	3704		1633	60	24	585	676	287	1633	410	25	-65	5218	0	0	246	114	96
2	FGP	2015	31 Mar 2015	2027	1856	142	4025	70	717	421	17	5249	1385	2378	0	3763		1486	60	28	533	676	189	1486	325	-65	-141	6051	0	0	246	106	86
3	FGP	2014	31 Mar 2014	1865	1727	94	3687	71	664	554	32	5008	1400	2385	0	3785		1223	60	12	446	676	28	1223	292	108	-130	6717	0	0	232	59	64
4	FGP	2013	31 Mar 2013	1978	1948	135	4060	80	641	682	68	5531	1785	2927	0	4712		819	24	25	-126	676	220	819	333	175	179	6901	0	0	206	37	48
0	FGT	2017	30 Sep 2017	0	0	1187	1187	0	4	11	0	1202	1	37	0	38		1164	40	0	21	573	531	1164	18	-96	-1	0	0	0	0	733	0
1	FGT	2016	30 Sep 2016	0	0	957	957	0	3	12	0	972	36	0	0	36		936	36	0	17	464	419	936	15	-114	4	0	0	0	0	658	0
0	FRCL	2017	31 Dec 2017	0	0	3927	3927	0	13	31	0	3970	60	242	0	302		3668	140	0	91	0	3436	3668	44	38	7	0	0	0	0	677	0
1	FRCL	2016	31 Dec 2016	0	0	3433	3433	0	7	26	0	3466	5	248	0	252		3213	140	0	83	0	2990	3213	42	156	-47	0	0	0	0	588	0
0	FSJ	2017	31 Dec 2017	133	199	13	344	52	202	20	0	619	146	186	0	332		286	13	1	246	26	1	286	21	-5	-0	505	351	155	55	49	41
1	FSJ	2016	31 Dec 2016	131	181	11	322	54	157	22	0	556	141	156	0	297		258	13	1	217	26	2	258	44	11	-4	466	324	142	50	45	38
2	FSJ	2015	31 Dec 2015	128	156	11	295	47	142	23	0	507	134	153	0	287		220	13	2	193	26	-13	220	32	-13	6	438	307	131	52	46	41
3	FSJ	2014	31 Dec 2014	117	127	13	257	41	118	18	0	433	117	112	0	229		204	13	1	175	25	-10	204	50	11	-5	445	307	138	54	49	40
4	FSJ	2013	31 Dec 2013	108	114	14	235	46	92	24	1	399	100	115	0	215		184	13	1	148	25	-3	184	53	28	10	414	361	53	45	46	39
0	FSV	2017	31 Aug 2017	0	0	654	654	0	5	2	24	685	11	0	0	11		674	14	0	12	96	552	674	0	0	0	0	0	0	0	255	0
1	FSV	2016	31 Aug 2016	0	0	539	539	0	12	2	41	594	16	0	0	16		578	14	0	10	96	459	578	0	0	0	0	0	0	0	218	0
0	FXPO	2017	31 Dec 2017	623	37	238	898	97	88	98	41	1222	416	209	0	625		596	122	0	2310	185	-2021	596	353	256	-45	1197	0	0	490	450	394
1	FXPO	2016	31 Dec 2016	575	35	194	804	79	82	145	54	1163	317	523	0	840		323	122	-1	2002	185	-1985	323	322	278	112	986	400	586	309	231	189
2	FXPO	2015	31 Dec 2015	654	40	235	929	96	83	35	82	1226	263	719	0	982		244	122	-1	1815	185	-1877	244	128	-76	-563	961	447	514	112	25	31
3	FXPO	2014	31 Dec 2014	926	60	216	1203	125	87	627	93	2135	329	1088	0	1417		718	122	8	1856	185	-1453	718	288	64	257	1388	648	740	318	254	184
4	FXPO	2013	31 Dec 2013	1534	117	366	2017	181	103	390	241	2932	211	986	0	1197		1735	122	22	1753	185	-347	1735	233	-124	-206	1581	773	808	359	305	264
0	GAW	2017	28 May 2017	22	14	6	43	12	13	18	1	87	23	1	0	24		63	2	0	46	11	4	63	44	31	6	158	44	114	38	38	31
1	GAW	2016	29 May 2016	23	12	4	39	9	10	12	1	70	16	1	0	17		53	2	0	39	11	2	53	24	12	-1	118	37	81	17	17	14
2	GAW	2015	31 May 2015	23	10	5	37	8	9	13	1	67	15	1	0	16		52	2	0	39	10	1	52	23	11	-5	119	37	82	16	17	12
3	GAW	2014	01 Jun 2014	21	10	6	37	8	9	18	1	73	16	1	0	17		55	2	0	43	9	2	55	20	9	4	124	37	87	12	12	8
4	GAW	2013	02 Jun 2013	21	9	9	39	8	11	14	1	72	23	1	0	25		48	2	0	34	9	3	48	27	15	-3	135	36	98	21	21	16
0	GCP	2017	30 Sep 2017	0	0	899	899	0	0	8	0	907	32	0	0	32		875	8	0	24	843	0	875	-151	-151	-44	57	0	0	48	47	47
1	GCP	2016	30 Sep 2016	0	0	700	700	0	0	52	0	752	28	0	0	28		724	7	0	23	694	0	724	14	14	47	64	0	0	56	54	54
2	GCP	2015	30 Sep 2015	0	0	658	658	0	0	5	1	664	0	0	44	44		620	6	0	14	599	0	620	-5	-174	-34	56	0	0	49	49	49
3	GCP	2014	30 Sep 2014	0	0	0	0	0	1	39	434	473	3	0	0	3		471	5	0	5	461	0	471	22	-57	13	44	0	0	35	31	31
4	GCP	2013	30 Sep 2013	0	0	0	0	0	0	25	347	373	79	0	0	79		294	3	0	4	287	0	294	12	-161	16	29	0	0	22	20	20
0	GFRD	2017	30 Jun 2017	16	179	170	365	1	810	766	723	2664	1789	300	0	2088		576	41	0	335	195	5	576	106	88	37	2662	2453	210	71	59	49
1	GFRD	2016	30 Jun 2016	19	152	120	291	0	718	166	821	1996	1072	324	0	1396		600	41	0	359	194	5	600	77	78	1	2495	2223	272	144	135	109
2	GFRD	2015	30 Jun 2015	21	156	53	230	0	712	165	979	2086	1095	422	0	1517		569	41	0	332	192	5	569	40	47	25	2348	2081	267	124	114	92
3	GFRD	2014	30 Jun 2014	12	128	89	230	0	415	140	847	1632	816	282	0	1098		534	41	0	297	192	5	534	52	58	83	1768	1546	222	106	95	77
4	GFRD	2013	30 Jun 2013	10	128	81	219	0	301	58	748	1326	728	97	0	825		501	41	0	265	191	5	501	-6	-2	-38	1467	1288	179	80	74	58
0	GFTU	2017	31 Dec 2017	504	646	36	1186	329	413	254	5	2186	611	401	0	1012		1175	8	0	858	212	96	1175	186	77	45	2716	0	0	161	154	128
1	GFTU	2016	31 Dec 2016	462	611	38	1111	293	398	206	8	2016	558	392	0	950		1065	8	3	752	210	92	1065	145	85	-12	2507	0	0	120	114	93
